part,measure,voice,offsetInMeasure,name,pitch,noteType,durationType,isChord,scoreOffset,startTimeSec,durationSec,isTrill,isGrace
Piano,1,,0.0,F4,65,normal,quarter,False,0.0,0.0,0.952381,False,False
Piano,1,,1.0,B-4,70,normal,quarter,False,1.0,0.952381,0.952381,False,False
Piano,1,,2.0,A-4,68,normal,quarter,False,2.0,1.904762,0.952381,False,False
Piano,1,,3.0,G-4,66,normal,quarter,False,3.0,2.857143,0.952381,False,False
Piano,2,,-4.0,F4,65,normal,quarter,False,0.0,0.0,1.428571,False,False
Piano,2,,-2.5,D-4,61,normal,16th,False,1.5,1.428571,0.238095,False,False
Piano,2,,-2.25,E-4,63,normal,16th,False,1.75,1.666667,0.238095,False,False
Piano,2,,-2.0,F4,65,normal,half,False,2.0,1.904762,1.904762,False,False
Piano,3,1,-7.5,D-5,73,normal,eighth,False,0.5,0.47619,0.47619,False,False
Piano,3,1,-7.0,C5,72,grace,16th,False,1.0,0.952381,0.119048,False,True
Piano,3,1,-7.0,D-5,73,grace,16th,False,1.0,0.952381,0.119048,False,True
Piano,3,1,-7.0,C5,72,normal,16th,False,1.0,0.952381,0.238095,False,False
Piano,3,1,-6.75,B-4,70,normal,16th,False,1.25,1.190476,0.238095,False,False
Piano,3,1,-6.5,B-5,82,normal,eighth,False,1.5,1.428571,0.47619,False,False
Piano,3,1,-5.5,D-6,85,normal,eighth,False,2.5,2.380952,0.47619,False,False
Piano,3,1,-5.0,C6,84,grace,16th,False,3.0,2.857143,0.119048,False,True
Piano,3,1,-5.0,D-6,85,grace,16th,False,3.0,2.857143,0.119048,False,True
Piano,3,1,-5.0,C6,84,normal,16th,False,3.0,2.857143,0.238095,False,False
Piano,3,1,-4.75,B-5,82,normal,16th,False,3.25,3.095238,0.238095,False,False
Piano,3,1,-4.5,G-5,78,normal,eighth,False,3.5,3.333333,0.47619,False,False
Piano,3,5,-6.0,G-3,54,normal,eighth,True,2.0,1.904762,0.47619,False,False
Piano,3,5,-6.0,D-4,61,normal,eighth,True,2.0,1.904762,0.47619,False,False
Piano,3,5,-6.0,G-4,66,normal,eighth,True,2.0,1.904762,0.47619,False,False
Piano,3,5,-6.0,B-4,70,normal,eighth,True,2.0,1.904762,0.47619,False,False
Piano,4,1,-11.5,F6,89,normal,eighth,False,0.5,0.47619,0.47619,False,False
Piano,4,1,-11.0,E-6,87,grace,16th,False,1.0,0.952381,0.119048,False,True
Piano,4,1,-11.0,F6,89,grace,16th,False,1.0,0.952381,0.119048,False,True
Piano,4,1,-11.0,E-6,87,normal,16th,False,1.0,0.952381,0.238095,False,False
Piano,4,1,-10.75,D-6,85,normal,16th,False,1.25,1.190476,0.238095,False,False
Piano,4,1,-10.5,B-6,94,normal,16th,False,1.5,1.428571,0.238095,False,False
Piano,4,1,-10.25,A-6,92,normal,16th,False,1.75,1.666667,0.238095,False,False
Piano,4,1,-10.0,F7,101,normal,eighth,False,2.0,1.904762,0.47619,False,False
Piano,4,5,-12.0,D-4,61,normal,eighth,True,0.0,0.0,0.47619,False,False
Piano,4,5,-12.0,A-4,68,normal,eighth,True,0.0,0.0,0.47619,False,False
Piano,4,5,-12.0,D-5,73,normal,eighth,True,0.0,0.0,0.47619,False,False
Piano,4,5,-12.0,F5,77,normal,eighth,True,0.0,0.0,0.47619,False,False
Piano,5,5,-16.0,A-4,68,normal,quarter,False,0.0,0.0,0.952381,False,False
Piano,5,5,-15.0,B-4,70,grace,16th,False,1.0,0.952381,0.119048,False,True
Piano,5,5,-15.0,A-4,68,grace,16th,False,1.0,0.952381,0.119048,False,True
Piano,5,5,-15.0,G-4,66,normal,eighth,False,1.0,0.952381,0.47619,False,False
Piano,5,5,-14.5,F4,65,normal,eighth,False,1.5,1.428571,0.47619,False,False
Piano,5,5,-14.0,B-4,70,normal,quarter,False,2.0,1.904762,1.428571,False,False
Piano,5,5,-12.5,B-4,70,normal,eighth,False,3.5,3.333333,0.47619,False,False
Piano,6,5,-20.0,E-4,63,normal,quarter,False,0.0,0.0,1.428571,False,False
Piano,6,5,-18.5,F4,65,normal,eighth,False,1.5,1.428571,0.47619,False,False
Piano,6,5,-18.0,G-4,66,normal,half,False,2.0,1.904762,1.904762,False,False
Piano,7,1,-23.5,G-5,78,normal,eighth,False,0.5,0.47619,0.47619,False,False
Piano,7,1,-23.0,F5,77,grace,16th,False,1.0,0.952381,0.119048,False,True
Piano,7,1,-23.0,G-5,78,grace,16th,False,1.0,0.952381,0.119048,False,True
Piano,7,1,-23.0,F5,77,normal,16th,False,1.0,0.952381,0.238095,False,False
Piano,7,1,-22.75,E-5,75,normal,16th,False,1.25,1.190476,0.238095,False,False
Piano,7,1,-22.5,E-6,87,normal,eighth,False,1.5,1.428571,0.47619,False,False
Piano,7,1,-21.5,G-6,90,normal,eighth,False,2.5,2.380952,0.47619,False,False
Piano,7,1,-21.0,F6,89,grace,16th,False,3.0,2.857143,0.119048,False,True
Piano,7,1,-21.0,G-6,90,grace,16th,False,3.0,2.857143,0.119048,False,True
Piano,7,1,-21.0,F6,89,normal,16th,False,3.0,2.857143,0.238095,False,False
