0.000000	0.000000	measure 1
2.000000	2.000000	measure 2
4.000000	4.000000	measure 3
6.000000	6.000000	measure 4
8.000000	8.000000	measure 5
10.000000	10.000000	measure 6
12.000000	12.000000	measure 7
14.000000	14.000000	measure 8
16.000000	16.000000	measure 9
18.000000	18.000000	measure 10
20.000000	20.000000	measure 11
22.000000	22.000000	measure 12
24.000000	24.000000	measure 13
26.000000	26.000000	measure 14
28.000000	28.000000	measure 15
30.000000	30.000000	measure 16
32.000000	32.000000	measure 17
34.000000	34.000000	measure 18
36.000000	36.000000	measure 19
38.000000	38.000000	measure 20
40.000000	40.000000	measure 21
42.000000	42.000000	measure 22
44.000000	44.000000	measure 23
46.000000	46.000000	measure 24
48.000000	48.000000	measure 25
50.000000	50.000000	measure 26
52.000000	52.000000	measure 27
54.000000	54.000000	measure 28
56.000000	56.000000	measure 29
58.000000	58.000000	measure 30
60.000000	60.000000	measure 31
62.000000	62.000000	measure 32
64.000000	64.000000	measure 33
69.125000	69.125000	measure 34
72.375000	72.375000	measure 35
76.375000	76.375000	measure 36
78.375000	78.375000	measure 37
80.375000	80.375000	measure 38
82.375000	82.375000	measure 39
84.375000	84.375000	measure 40
86.375000	86.375000	measure 41
88.375000	88.375000	measure 42
90.375000	90.375000	measure 43
92.375000	92.375000	measure 44
94.375000	94.375000	measure 45
96.375000	96.375000	measure 46
98.375000	98.375000	measure 47
100.375000	100.375000	measure 48
102.375000	102.375000	measure 49
104.375000	104.375000	measure 50
106.375000	106.375000	measure 51
108.375000	108.375000	measure 52
110.375000	110.375000	measure 53
112.375000	112.375000	measure 54
114.375000	114.375000	measure 55
116.375000	116.375000	measure 56
118.375000	118.375000	measure 57
120.375000	120.375000	measure 58
123.375000	123.375000	measure 59
125.875000	125.875000	measure 60
127.875000	127.875000	measure 61
129.875000	129.875000	measure 62
131.875000	131.875000	measure 63
133.875000	133.875000	measure 64
136.375000	136.375000	measure 65
138.375000	138.375000	measure 66
140.375000	140.375000	measure 67
142.375000	142.375000	measure 68
144.375000	144.375000	measure 69
146.375000	146.375000	measure 70
149.375000	149.375000	measure 71
151.375000	151.375000	measure 72
153.375000	153.375000	measure 73
155.375000	155.375000	measure 74
158.375000	158.375000	measure 75
159.375000	159.375000	measure 76
