22.885000	23.363958	trill 77 79
24.135000	24.613958	trill 71 72
25.135000	25.363958	trill 71 72
26.801667	27.363958	trill 76 78
28.260000	28.613958	trill 77 79
29.260000	29.613958	trill 77 79
32.135000	32.613958	trill 71 72
33.135000	33.363958	trill 71 72
34.801667	35.363958	trill 76 78
59.010000	59.488958	trill 77 79
60.260000	60.738958	trill 71 72
61.260000	61.488958	trill 71 72
62.926667	63.488958	trill 76 78
64.385000	64.738958	trill 77 79
65.385000	65.738958	trill 77 79
68.260000	68.738958	trill 71 72
69.260000	69.488958	trill 71 72
70.926667	71.488958	trill 76 78
77.510000	78.363958	trill 77 79
80.510000	80.861875	trill 72 74
82.510000	82.861875	trill 69 71
84.260000	84.738958	trill 72 74
85.260000	85.488958	trill 72 74
87.510000	95.488958	trill 62 64
105.510000	105.738958	trill 71 72
117.010000	117.488958	trill 70 72
119.260000	119.488958	trill 64 66
120.926667	121.488958	trill 69 71
122.385000	122.738958	trill 82 84
123.385000	123.738958	trill 82 84
127.260000	127.488958	trill 64 66
128.926667	129.488958	trill 69 71
