54.491079	55.690629	trill 55 95
60.385375	61.591500	trill 55 98
68.684200	71.050336	trill 92 44
141.324170	142.122617	trill 45 95
146.879048	148.042929	trill 55 95
152.776525	153.991187	trill 55 98
180.118924	181.560245	trill 69 69
182.907795	186.579133	trill 69 69
187.906570	189.288713	trill 69 69
190.485681	191.853338	trill 69 69
193.030312	194.399304	trill 69 69
195.607819	196.988627	trill 69 69
198.161986	200.319317	trill 69 69
202.645799	202.645799	grace 29
202.745443	202.745443	grace 41
204.027868	204.027868	grace 32
204.126937	204.126937	grace 44
205.401433	205.401433	grace 31
205.504161	205.504161	grace 43
206.784580	206.784580	grace 36
206.884853	206.884853	grace 48
208.158968	208.158968	grace 28
208.262575	208.262575	grace 40
208.358362	208.358362	grace 47
209.674924	210.449053	trill 21 64
